date,time,favorites,id,isRetweet,retweets,text
11/17/202,0  12:35:01 AM,0,1.32833E+18,TRUE,24186,"RT @RudyGiuliani: I imagine this guy has a reading deficit. He didn’t read paragraphs 132 to 150 of the amended complaint. I guess 680,770…"
11/17/202,0  12:34:42 AM,0,1.32833E+18,TRUE,28346,"RT @RudyGiuliani: REVEALED: Sworn Evidence Of Pervasive Voter Fraud #Affidavits 

Rudy Giuliani breaks it down here: https://t.co/HfvQzCHl8…"
11/17/202,0  12:34:24 AM,122871,1.32833E+18,FALSE,21461,I strongly stand with Kelly &amp; David. They are both great and MUST WIN! https://t.co/eqr95Lc2aC
11/17/202,0  12:32:48 AM,0,1.32833E+18,TRUE,11343,RT @realDerekUtley: Trump Supporters as far as you can see at Freedom Plaza https://t.co/DRCI7uswrb
11/17/202,0  12:32:28 AM,0,1.32833E+18,TRUE,24433,"RT @RyanAFournier: Look at the size of this crowd down Pennsylvania Ave.

More than a MILLION people showed up to support this President.…"
11/17/202,0  12:32:10 AM,0,1.32833E+18,TRUE,17100,"RT @alexbruesewitz: It was a GREAT honor to speak to TENS OF THOUSANDS of great Americans today at the #MarchForTrump

WE. ARE. THE. MAJORI…"
11/17/202,0  12:31:31 AM,0,1.32833E+18,TRUE,18669,RT @MrAndyNgo: BLM-antifa thugs are running around and beating people on the streets in DC. Video by @VenturaReport: https://t.co/GzV5HRN3So
11/17/202,0  12:31:20 AM,0,1.32833E+18,TRUE,17738,RT @MrAndyNgo: Young couple in DC followed by crowd of BLM-antifa thugs who hit them and throw liquid on them. #MillionMAGAMarch https://t.…
11/17/202,0  12:31:16 AM,0,1.32833E+18,TRUE,10698,RT @justericthomas: a #Trump supporter is pushed to the ground and robbed while not being allowed to walk out of #BlackLivesMatterPlaza as…
11/17/202,0  12:30:08 AM,0,1.32833E+18,TRUE,8405,RT @AndrewPollackFL: Would you ever hear Biden supporters saying this? #MillionMAGAMarch https://t.co/ajE6l8QgjU
11/17/202,0  12:29:41 AM,0,1.32833E+18,TRUE,8858,"RT @AndrewPollackFL: The Million MAGA March happened today.   

Nothing was burned, looted, and no one was shot or killed. 

Tell us again…"
11/17/202,0  12:29:22 AM,0,1.32833E+18,TRUE,25674,"RT @DineshDSouza: Hey @JoeBiden, are you going to denounce this? https://t.co/uilzBZRrnL"
11/17/202,0  12:29:05 AM,0,1.32833E+18,TRUE,74792,"RT @realDonaldTrump: ANTIFA SCUM ran for the hills today when they tried attacking the people at the Trump Rally, because those people aggr…"
11/17/202,0  12:28:46 AM,0,1.32833E+18,TRUE,8364,"RT @alexbruesewitz: 🚨🚨🚨

Fake News @BBCWorld reached out for an interview.

I agreed.

I let them know that their country’s opinion stopped…"
11/17/202,0  12:27:30 AM,163578,1.32833E+18,FALSE,40680,Dominion is running our Election. Rigged! https://t.co/xvwrpLpAZa
11/17/202,0  12:25:26 AM,129835,1.32833E+18,FALSE,17760,Thank you Andrew! https://t.co/lnFIJb64YA
11/17/202,0  12:23:27 AM,0,1.32833E+18,TRUE,9609,"RT @1776Stonewall: Sidney Powell: 'Dominion machines engineered by China, Venezuela, Cuba'"
11/17/202,0  12:19:26 AM,0,1.32833E+18,TRUE,5658,RT @swervinerv82: @catturd2 @gatewaypundit If Leland Vittert was anything but a CNN-esque hack...he’d at least be curious enough to ask que…
11/17/202,0  12:18:59 AM,0,1.32833E+18,TRUE,5381,RT @gnmy1938: @catturd2 @gatewaypundit Have changed to Newsmax and OAN . They are so much better
11/17/202,0  12:17:09 AM,144169,1.32833E+18,FALSE,32099,Most fraudulent Election in history! https://t.co/X2pRkTqWIS
11/17/202,0  12:16:19 AM,100611,1.32833E+18,FALSE,25142,This is crazy! https://t.co/Dwvb57mgMz
11/17/202,0  12:15:02 AM,105821,1.32833E+18,FALSE,24556,No way! https://t.co/Dwvb57mgMz
11/17/202,0  12:12:05 AM,0,1.32832E+18,TRUE,11190,"RT @TimMurtaugh: In 2012, the @nytimes was very concerned about fraud in mail-in voting.

 https://t.co/A3KR9URO9J"
